Year,Time,fleet_start,fleet_finish,Code Time less than 3
1945,6.59861111111111 day,9,8,
1946,5.12013888888889 day,19,11,
1947,5.12708333333333 day,28,21,
1948,4.20902777777778 day,18,13,
1949,NA,15,13,
1950,5.22777777777778,16,14,
1951,4.10347222222222,14,12,
1952,6.10694444444444 day,17,17,
1953,NA,24,20,
1954,5.25625,17,15,
1955,4.75902777777778,17,16,
1956,4.18819444444444 day,28,26,
1957,NA,20,18,
1958,5.10555555555556,22,19,
1959,4.56458333333333,30,24,
1960,4.34097222222222,32,30,
1961,4.19583333333333 day,35,33,
1962,3.15902777777778,42,40,
1963,NA,44,34,
1964,3.83680555555556,38,31,
1965,3.85416666666667,53,49,
1966,4.36041666666667,46,44,
1967,4.17361111111111,66,59,
1968,4.13888888888889 day,67,54,
1969,3.62986111111111,79,75,
1970,3.5875,61,47,
1971,3.53194444444444,79,76,
1972,3.19583333333333,79,75,
1973,3.06388888888889,92,92,
1974,3.57708333333333,63,58,
1975,NA,102,99,
1976,3.33263888888889,85,70,
1977,3.42638888888889,131,72,
1978,4.09930555555556 day,97,87,
1979,3.07291666666667,147,142,
1980,2.78125,102,93,
1981,3.9375,159,144,
1982,3.04097222222222,118,108,
1983,3.03472222222222,173,158,
1984,3.47986111111111 day,151,46,
1985,3.18888888888889,179,146,
1986,2.97638888888889,123,106,
1987,2.91527777777778,154,146,
1988,3.64513888888889,119,81,
1989,3.26458333333333,126,101,
1990,NA,105,86,
1991,3.46805555555556,99,91,
1992,2.80486111111111,110,102,
1993,4.0375,104,38,
1994,2.7,371,309,
1995,3.03680555555556,98,92,
1996,2.58819444444444,95,77,
1997,2.98402777777778,114,99,
1998,2.79375,115,44,
1999,1.825,79,49,
2000,2.58472222222222,82,58,
2001,2.86527777777778,75,57,
2002,NA,57,55,
2003,2.63472222222222,56,52,
2004,2.66666666666667,116,59,
2005,1.77777777777778,85,80,
2006,2.36944444444444 day,78,69,
2007,1.89166666666667,82,79,
2008,1.85694444444444,100,92,
2009,2.37638888888889,100,94,
2010,2.31736111111111,87,69,
2011,2.25972222222222,88,76,
2012,1.76597222222222,76,71,
2013,2.25486111111111,94,84,
2014,2.10416666666667,117,103,
2015,2.37361111111111,108,77,
2016,1.56319444444444,88,83,
